"id","host_since","host_location","host_response_time","host_response_rate","host_neighborhood","host_has_profile_pic","host_identity_verified","street","neighborhood","city","suburb","state","zipcode","smart_location","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","reviews_per_month","properties.ABB_NAME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10803,"9/16/2009","Melbourne, Victoria, Australia","N/A","N/A","Brunswick","t","t","Brunswick East, VIC, Australia","Brunswick","Moreland","Brunswick East","VIC","3057","Brunswick East, Australia",-37.76650512,144.9807361,"t","Apartment","Private room",2,1,1,1,"Futon","{TV,Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",35,200,803,0,9,1,3,45,108,87,1.5,"Moreland"
12936,"10/31/2009","Melbourne, Victoria, Australia","within an hour","100%","St Kilda","t","t","St Kilda, VIC, Australia","St Kilda","Port Phillip","St Kilda","VIC","3182","St Kilda, Australia",-37.85975502,144.9773691,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed""}",159,1253,4452,450,100,2,3,28,15,94,0.15,"Port Phillip"
15246,"12/3/2009","Melbourne, Victoria, Australia","N/A","N/A","Thornbury","t","t","Thornbury, VIC, Australia","Thornbury","Darebin","Thornbury","VIC","3071","Thornbury, Australia",-37.75897072,144.9892279,"t","House","Private room",1,1.5,1,1,"Real Bed","{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",50,250,920,200,15,1,2,200,29,94,0.3,"Darebin"
16760,"12/22/2009","Saint Kilda East, Victoria, Australia","within an hour","100%","St Kilda East","t","t","St Kilda East, VIC, Australia","St Kilda East","Port Phillip","St Kilda East","VIC","3183","St Kilda East, Australia",-37.8645303,144.9922379,"t","House","Private room",2,1,1,2,"Real Bed","{Internet,Wifi,Heating,Washer,""Smoke detector"",Essentials,Shampoo,""Bed linens"",""Extra pillows and blankets""}",69,400,1900,NA,15,1,1,90,63,90,0.74,"Port Phillip"
38271,"7/12/2010","Berwick, Victoria, Australia","within an hour","100%","","t","t","Berwick, VIC, Australia","","Casey","Berwick","VIC","3806","Berwick, Australia",-38.05725414,145.3393561,"t","Apartment","Entire home/apt",5,1,3,3,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub,""Hot water"",""Host greets you""}",98,540,NA,0,0,1,1,14,112,97,1.14,"Casey"
41836,"7/27/2010","Melbourne, Victoria, Australia","N/A","N/A","","t","t","Reservoir, VIC, Australia","","Darebin","Reservoir","VIC","3073","Reservoir, Australia",-37.69729418,145.0008156,"t","House","Private room",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Host greets you""}",50,335,1400,NA,10,2,7,365,159,94,1.62,"Darebin"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43429,"8/3/2010","Melbourne, Victoria, Australia","within an hour","100%","","t","f","Oakleigh East, VIC, Australia","","Monash","Oakleigh East","VIC","3166","Oakleigh East, Australia",-37.899601,145.1144745,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Flat path to front door"",""Hot water kettle"",""DVD player"",""Gas oven"",""Breakfast table"",""Pillow-top mattress"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials"",""Fixed grab bars for shower"",""Fixed grab bars for toilet""}",98,535,NA,500,40,1,2,365,168,97,1.72,"Monash"
44082,"8/6/2010","Frankston, Victoria, Australia","within an hour","100%","","t","t","Frankston, VIC, Australia","","Frankston","Frankston","VIC","3199","Frankston, Australia",-38.14932045,145.1415689,"t","House","Private room",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Host greets you""}",60,413,1540,0,29,1,3,730,28,99,0.29,"Frankston"
