"id","host_since","host_location","host_response_time","host_response_rate","host_neighborhood","host_has_profile_pic","host_identity_verified","street","neighborhood","city","suburb","state","zipcode","smart_location","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","reviews_per_month","properties.ABB_NAME"
29283824,"2/17/2015","Melbourne, Victoria, Australia","within a few hours","100%","Fitzroy North","t","t","Fitzroy North, VIC, Australia","Fitzroy North","Yarra","Fitzroy North","VIC","3068","Fitzroy North, Australia",-37.78653283,144.9785379,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Host greets you""}",129,NA,NA,NA,NA,1,7,20,1,NA,1,"Yarra"
11376810,"11/12/2014","Victoria, Australia","N/A","N/A","Fitzroy","t","f","Fitzroy, VIC, Australia","Fitzroy","Yarra","Fitzroy","VIC","3065","Fitzroy, Australia",-37.79601538,144.9836438,"t","House","Entire home/apt",5,2,3,4,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",""24-hour check-in"",""Hair dryer"",Iron}",350,NA,NA,0,70,1,5,1125,3,100,0.13,"Yarra"
3846519,"8/11/2014","Victoria, Australia","within an hour","100%","Central Business District","t","f","Melbourne, VIC, Australia","Central Business District","Melbourne","Melbourne","VIC","3000","Melbourne, Australia",-37.81211958,144.97327,"t","Condominium","Entire home/apt",4,1,1,1,"Real Bed","{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Long term stays allowed"",""Host greets you""}",226,1350,3750,250,90,2,4,1125,49,100,1.02,"Melbourne"
15646953,"4/5/2015","Olinda, Victoria, Australia","within a few hours","100%","","t","f","Olinda, VIC, Australia","","Yarra Ranges","Olinda","VIC","3788","Olinda, Australia",-37.85274639,145.3638005,"t","Camper/RV","Entire home/apt",2,1,1,1,"Real Bed","{TV,Wifi,""Free parking on premises"",""Hot tub"",Heating,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",""Dishes and silverware"",""BBQ grill"",""Patio or balcony"",""Garden or backyard""}",174,NA,NA,NA,NA,1,1,1125,155,100,6.56,"Yarra Ranges"
24736538,"10/7/2015","Queensland, Australia","within an hour","90%","","t","t","East Melbourne, VIC, Australia","East Melbourne","Melbourne","East Melbourne","VIC","3002","East Melbourne, Australia",-37.81839145,144.9804808,"f","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",Bathtub,""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}",172,NA,NA,0,99,1,2,1110,9,100,1.29,"Melbourne"
20316531,"2/12/2017","Melbourne, Victoria, Australia","within an hour","100%","Central Business District","t","f","Melbourne, VIC, Australia","Central Business District","Melbourne","Melbourne","VIC","3004","Melbourne, Australia",-37.80950992,144.9618522,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Room-darkening shades"",""Hot water"",""Bed linens"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway""}",145,NA,NA,300,69,3,1,1125,67,96,4.25,"Melbourne"
29040327,"7/24/2018","Melbourne, Victoria, Australia","within an hour","98%","Central Business District","t","f","Melbourne, VIC, Australia","Central Business District","Melbourne","Melbourne","VIC","3000","Melbourne, Australia",-37.80675105,144.960843,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Wifi,""Air conditioning"",Pool,Gym,Elevator,Heating,Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",130,NA,NA,300,65,2,1,28,0,NA,NA,"Melbourne"
24122327,"3/4/2018","Templestowe, Victoria, Australia","N/A","N/A","","t","f","Templestowe, VIC, Australia","","Manningham","Templestowe","VIC","3106","Templestowe, Australia",-37.75075799,145.138379,"t","Villa","Entire home/apt",10,2,4,7,"Real Bed","{Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",130,NA,NA,0,100,6,3,14,23,97,2.83,"Manningham"
19129380,"6/20/2016","China","N/A","N/A","Carlton","t","t","North Melbourne, VIC, Australia","Carlton","Melbourne","North Melbourne","VIC","3051","North Melbourne, Australia",-37.80514093,144.9568453,"t","Apartment","Private room",1,1,1,1,"Real Bed","{TV,Wifi,Kitchen,Elevator,Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",40,NA,NA,NA,NA,1,15,28,1,40,0.06,"Melbourne"
6384614,"5/13/2015","Noble Park, Victoria, Australia","N/A","N/A","","t","t","Noble Park, VIC, Australia","","Greater Dandenong","Noble Park","VIC","3174","Noble Park, Australia",-37.96416599,145.18005,"t","Villa","Private room",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo}",60,350,NA,NA,10,2,1,5,1,100,0.03,"Greater Dandenong"
