"city","med_price","mean_price","num_listings"
"Manningham",109,154.111821086262,313
"Moreland",80,105.651499482937,967
"Port Phillip",120,163.220441595442,2808
"Darebin",80,126.458452722063,698
"Casey",76,215.843137254902,153
"Melbourne",127,154.134500542888,7368
"Monash",60,105.287215411559,571
"Frankston",108,158.632768361582,177
"Yarra",116,144.670571010249,2049
"Bayside",145,225.421333333333,375
"Boroondara",90,157.072289156627,664
"Kingston",100,135.686084142395,309
"Stonnington",118,165.938926588526,1621
"Glen Eira",86,118.541996830428,631
"Maroondah",75,101.904347826087,115
"Maribyrnong",89,108.713302752294,436
"Yarra Ranges",190,245.974059662776,771
"Banyule",79,109.453201970443,203
"Whitehorse",80,99.7035830618892,614
"Melton",71,103.115789473684,95
"Brimbank",52,79.0925925925926,108
"Hobsons Bay",100,137.866108786611,239
"Wyndham",65,105.953051643192,426
"Moonee Valley",79,109.848837209302,344
"Whittlesea",50,87.7080291970803,137
"Greater Dandenong",50,99.6802721088435,147
"Nillumbik",120,147.5,88
"Knox",73,106.502857142857,175
"Cardinia",150,167.121951219512,123
"Hume",60,108.552941176471,170
